name	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
Der Tagesspiegel	164135.350603933	-0.005051986869610453	150059			149683	146377	148010	145232	147238	146434	148064	144857	147139	146631	148154	145046	147356	146823	148654	146085	150346	147624	149431	146911	150148	146241	150052	147296	144797	138932	137097	132086	131398	131363	132554	128914	128670	127803	131240	126677	126449	121268	123691	122863	123873	123006	122012	118189
Berliner Zeitung	246650.95294387676	-0.010664519849570172	214523			212182	210869	205971	200461	207719	204887	196872	196261	204277	197950	195467	195270	197222	196062	194335	188031	190440	183730	178739	175403	184073	179565	178753	172478	174598	172140	165064	159573	157693	158260	157695	156801	156442	153916	151399	150241	146646	143388	142195	142332	139952	131953	132035	129445
Frankfurter Rundschau, Frankfurter Neue Presse, Rhein-Main-Zeitung	103307.05192882617	-0.005925166409812167	96079			94960	94671	90956	87840	91755	89993	90713	87455	88869	89328	88613	84203	90252	90627	89231	85077	89576	90244	89222	87964	92040	90729	88947	85051	87341	89833	87760	84748	88142	90164	87353	84004	85397	87436	82652	78267	81203	80218	67031	63500	64265	69732	62071	60277
Westfälische Nachrichten	108856.57917329423	-0.0024317913923243856	102485			101446	100814	99880	98286	100030	106292	106345	104873	106443	105677	105624	104867	105764	104781	104263	103332	104743	103714	103033	101589	103037	102536	102374	100613	100899	101331	101436	99298	100243	99809	99734	97674	97740	96995	96510	94030	94519	95359	95557	93887	93920	93670	94397	92286
Hamburger Morgenpost	138298.2143381509	-0.006243632244051847																114925	113665	115753	114623	114298	114717	115285	113174	112066	112786	115167	115054	112405	110275	112935	112026	107486	108654	110496	110503	106865	105576	105680	105260	100873	99749	100161	100495	96026	94827	96887	94270
Hamburger Abendblatt	NaN	Infinity																290825																															
Die Rheinpfalz	275221.1443195325	-0.003254457814659566																	253064	251120	249134	252023	251148	249816	247373	248697	248331	246857	244490	245796	245065	243854	241717	242349	242003	240283	238689	240630	239422	238794	234783	236635	235542	234502	231182	231892	231313	230120	226884
Frankfurter Allgemeine Zeitung	887764.6795294833	-0.005415899457739046																										713706	715101	722279	711860	718879	715323	720532	713974	718513	717768	721579	707144	712210	712039	712315	685727	683393	683595	680445	636388	626077	622433
Die Welt	903166.2060959677	-0.007177113192224327																																	656543	664834	666281	664555	655333	654134	652102	652768	631845	627576	625649	624111	615030	609056	603700
B.Z.	394016.4396682824	-0.012990747411647333																																									209173	205018	203172	199657	199219	194867	192942
