title	alias	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
Paulinus		65048	-0.017855157032741174	48599			48714	48606	48439	48164	48049	47576	47370	47163	46831	45758	45241	43641	43500	42974	42778	42983	42817	40958	40323	40078	43709	37843	36068	36088	35024	33436	32237	31155	30763	30010	29452	29030	28572	27997	27650	26955	26366	25737	25451	25058	24813	24520	24568	
Playboy		320535	-0.007853249998883422	300413			263713	304566	247947	259843	280084	281286	252726	254529	326382	269346	273430	257067	293077	270976	268764	253721	310826	267058	244382	235471	284017	254246	215273	212143	258871	243865	210819	212242	259956	223342	212468	219036	276255	243122	212688	219550	271255	216928	207417	208263	230186	176249	177743	178796
Der Pilger		31604	-0.008217134213973474	28853			30467	28271	27842	27517	27425	26966	26506	26028	26101	26111	26142	25757	27087	25203	25439	25191	25390	24940	24857	24636	24733	25240	24861	24384	24193	23793	23496	23074	22729	22359	22179	22009	21902	22119	22282	21049	22690	21132	20450	20499	21469	19594	18968	18716
profi-Magazin für Agrartechnik		49376	0.008815708261853643	55204			59126	58795	53190	52233	59914	54637	53997	53523	59970	60488	59236	57945	60950	59183	59496	58872	66709	68136	62980	63596	70919	68327	64645	63966	71882	72409	67985	67224	72057	73114	70593	68717	79816	76493	71792	72242	77544	75824	72480	71823	87589	79731	76115	75301
Reiter Revue International		38708	-0.0025269287113429384	41029			42559	42316	38065	34384	40253	39161	37387	43944	38546	35984	36383	33337	34433	34353	35535	33461	37428	32507	35076	32333	37775	32876	31730	30155	29327	31279	34008	31016	32387	29297	29888	31268	35609	32783	36295	31127	36852	38207	37133	32442	33105	37450	39644	44882
Ruhrwort		40782	-0.01793204466009548	32073			31221	30626	30236	29410	29427	29122	29196	29367	29547	29630	29905	28999	28351	27113	26283	25743	25367	24919	24354	24089	24142	23296	22896	22623	22426	21603	20887	19840	19401	18746	18220	17940	17696	17191	16976	16698	16689	16511	16342	16102	15834			
Reiter und Pferde in Westfalen		34718	-0.006104797384992001	34006			32940	32302	31943	32168	31791	30853	31413	30805	30688	29960	30251	30163	29801	29354	29462	29282	28829	28429	29409	28439	28009	27937	27911	27890	27560	27086	27447	27320	26972	27039	26953	26694	26242	26073	26190	26892	25590	26089	26604	26695	25594	24638	24745	25042
Ratgeber Frau und Familie		319318	-0.013730478486828769	294557			289425	270856	261095	261161	270083	255218	252619	256420	243350	228493	225646	221089	221451	213537	208387	203321	200059	216960	201785	203981	219511	216218	221261	213855	209093	188389	184321	179621	181496	164540	161399	161501	178810	162077	154566	161014	174567	153679	156075	154539	162569	183815	165060	163288
DSV aktiv Ski & Sportmagazin		227075	-0.004443178624052704	212938			215468	202330	209781	211024	211300	206385	208656	206627	207522	202069	206253	219056	213554	203615	218910	186763	200778	198026	200567	201542	187115	194481	202892	189971	197698	197998		194689	192549	203422		197568	190099	190117		176378	188343	178385		170948	168694	175479		170478
Spielen und lernen		136862	-0.0042124984248782145	119769			167086	115778	143761	122221	118680	130282	128282	122268	127441	123167	117528	121452	120483	124961	115905	120609	118816	113122	113794	127919	118402	116446	114133	120189	124552	115910	113108	116540	116414	116834	111815	117179	114502	114352	117799	118946	116230	103700						
