title	alias	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
Ruhrwort		40765	-0.019721202686908045	30430			30017	29876	29665	28835	28814	28507	28588	27947	28225	28534	28536	27986	27296	26375	25760	25255	24339	24919	22451	22579	22608	22006	21606	21374	20942	20134	19204	18428	17788	17133	16700	16422	16173	15740	15491	15261	15264	15131	14975	14720	14443			
Reiter und Pferde in Westfalen		34061	-0.006250654630656255	33008			32222	31673	31405	31630	31253	29987	30307	30239	29935	29125	29411	29378	29089	28347	28661	28754	28358	27780	28053	28032	27753	27301	27498	27602	27300	26603	27042	26965	26747	26425	26419	26434	25993	25692	25837	25513	25278	24885	25013	25268	24861	24190	24167	24046
Ratgeber Frau und Familie		311998	-0.01376556621963029	283591			277773	262443	254524	254203	266783	249242	245878	253084	232653	222682	218536	216765	217497	206178	200958	200173	196690	213460	198930	201404	216995	213715	219012	211219	205970	185536	181786	176873	178782	161911	154003	158874	172084	157933	152752	159147	172766	151963	154589	152658	161173	172320	152322	151886
DSV aktiv Ski & Sportmagazin		220807	-0.004907614923117308	209110			211827	199530	207416	208309	207268	196592	199258	196726	196025	193049	197100	209358	204675	194808	209883	178369	191703	189110	191315	192344	178503	184962	194251	181640	187488	182770		185307	183100	193245		188291	180367	179062		167360	178856	170048		166994	163645	169107		165718
Spielen und lernen		121039	-0.0014687830158206009	111256			129058	111126	109070	107213	113533	127953	126278	119802	124005	120711	115080	118795	117998	122515	113359	118032	116218	110546	110959	124550	114896	113523	111426	117596	121779	113301	110625	114096	113772	114869	109930	115320	112410	112146	115997	117184	114284	101946						
Der Spiegel		1203477	-0.005552077805762943	1123803			1108083	1080873	1088932	1097720	1075946	1095122	1072079	1113078	1042395	1055369	1033454	1077202	1026199	1050397	1051113	1078981	1006634	1050296	1027353	1056229	1046090	1052432	1029558	1044745	1016373	1009996	984876	1012872	974638	967002	951656	971524	927561	933394	906804	941407	890874	883310	878954	896298	842322	876117	874111	878260
sport auto		69379	-0.007375048617201143	65888			58773	62864	60597	62225	58777	60533	57640	58799	59210	55949	59434	63162	58676	59804	59722	61075	60798	51504	60652	49964	52857	52234	55570	56946	62948	50411	55634	59321	53452	50748	51063	52331	49057	43456	46891	45670	45214	42542	46970	44844	46635	47102	48617	48455
Spektrum der Wissenschaft		111168	-0.007790313516189795	99614			98225	98115	97205	97009	97577	95885	98032	95104	96819	93505	94589	92506	93543	90062	89850	91581	92063	86919	94936	89908	90211	92405	87811	85026	81546	88626	82895	82554	77354	82341	81533	85949	73304	76812	83030	74505	72032	71505	78675	71751	67814	70985	76292	69031
Vorwärts		610089	-0.00839431221864487	597529			572910	552051	542229	535071	529503	522011	518482	515597	515343	508067	505068	501296	496779	489831	483952	481432	477659	474015	468936	464626	460173	454746	452822	450471	451485	450176	452893	452045	449646	415148	418016	420003	417519	411542	409862	407187	406553	403627	402782	401518	401984	401972	399827	396734
Sonntagsblatt - evangelische Wochenzeitung für Bayern		41821	-0.011336507053737517	38841			37159	36023	35620	35520	35039	33950	33757	33400	33334	32366	31920	31909	31557	30711	30500	30094	32234	29131	28769	28383	28269	27655	28108	28213	28331	28387	28481	28061	27687	27135	27667	26227	26076	25514	25408	25013	24781	24520	24035	23361	22737	21808	21223	19980
Sieben Tage		123952	-0.006644139231786422	126040			118985	110947	93194	124177	100325	114224	102656	102942	97956	105830	99200	120483	101369	113327	108309	113307	102652	105195	97452	103844	95283	96513	94279	97360	94887	97307	105696	99402	92812	98687	94320	97613	92521	98160	91923	97392	86696	90273	90068	92088	80377	81748	76557	83853
